company_name,domain
Stripe,stripe.com
Notion,notion.so
Datadog,datadoghq.com
Figma,figma.com
Vercel,vercel.com
GitLab,gitlab.com
Wise,wise.com
Atlassian,atlassian.com
Razorpay,razorpay.com
UiPath,uipath.com
Canva,canva.com
Checkout.com,checkout.com
Zapier,zapier.com
Calendly,calendly.com
Airtable,airtable.com
Miro,miro.com
Linear,linear.app
Webflow,webflow.com
Personio,personio.com
Deel,deel.com
Postman,postman.com
Grab,grab.com
Contentful,contentful.com
Rappi,rappi.com
Wiz,wiz.io
Mercado Libre,mercadolibre.com
N26,n26.com
Loom,loom.com
Mailchimp,mailchimp.com
Squarespace,squarespace.com
Freshworks,freshworks.com
Sage Group,sage.com
Tata Consultancy Services,tcs.com
Naver,naver.com
Xero,xero.com
Baidu,baidu.com
Flipkart,flipkart.com
Booking Holdings,booking.com
BYJU'S,byjus.com
Zalando,zalando.com
